ItemId,場站名稱,場站英文名稱,場站的總停車格,場站的目前車輛數,資料更新時間(yyyyMMddhhmmss),經度,緯度,擋板數量,空位數量
339,捷運市政府站(3號出口),MRT Taipei City Hall Stataion(Exit 3)-2,180,21,20140319131932,25.0408578889,121.567904444,0,159
340,捷運國父紀念館站,MRT S.Y.S Memorial Hall Stataion,38,1,20140319132024,25.0410833333,121.5578,0,35
341,台北市政府,Taipei City Hall,40,8,20140319132027,25.0377972222,121.565169444,0,32
342,市民廣場,Citizen Square,60,36,20140319132013,25.0360361111,121.562325,0,24
343,興雅國中,Xingya Jr. High School,60,16,20140319132034,25.0365638889,121.5686639,0,44
344,世貿二館,TWTC Exhibition Hall 2,80,72,20140319131951,25.0347361111,121.565658333,1,4
345,信義廣場(台北101),Xinyi Square(Taipei 101),80,35,20140319132029,25.0330388889,121.565619444,0,45
346,世貿三館,TWTC Exhibition Hall 3,60,18,20140319132013,25.0352138889,121.563688889,0,42
347,松德站,Songde,32,13,20140319132027,25.03159,121.574353,0,18
348,台北市災害應變中心,Emergency Operations Center of Taipei City,54,1,20140319132024,25.0286611111,121.566116667,0,53
349,三張犁,Sanchangli,26,10,20140319132029,25.034937,121.55762,0,16
350,臺北醫學大學,Taipei Medical University,34,21,20140319132023,25.026679,121.561747,0,13
351,福德公園,Fude Park,66,0,20140319132011,25.03809,121.58367,0,66
352,榮星花園,Rongxing Park,32,2,20140319132023,25.06424,121.54037,0,30
353,饒河夜市,Raohe Night Market,38,0,20140319132031,25.049845,121.571885,0,38
354,松山家商,Songshan Vocational High School,48,0,20140319132025,25.036084,121.579135,0,48
355,民生光復路口,Minsheng & Guangfu Intersection,34,16,20140319132020,25.0584,121.55504,0,18
356,社教館,Taipei Cultural Center,38,19,20140319131928,25.048268,121.552278,0,17
357,中強公園,Zhongqiang Park,30,15,20140319132032,25.02863,121.56981,0,13
358,捷運科技大樓站,MRT Technology Bldg. Sta.,56,9,20140319132021,25.025896,121.543293,0,47
359,民生敦化路口,Minsheng & Dunhua Intersection,32,14,20140319132009,25.057985,121.548982,0,18
360,松山車站,Songshan Rail Sta.,44,0,20140319132033,25.048616,121.578095,0,44
361,東新國小,Dongxin Elementary School,32,2,20140319132005,25.055074,121.602798,0,30
362,信義建國路口,Xinyi & Jianguo Intersection,46,1,20140319132021,25.032981,121.537328,0,45
363,永吉松信路口,Yongji & Songxin Intersection,30,5,20140319132034,25.04543,121.57205,0,24
364,捷運昆陽站(1號出口),MRT Kunyang Sta. (Exit 1),42,11,20140319132007,25.050142,121.592375,0,30
365,捷運南港展覽館站(5號出口),MRT Nangang Exhibition Center Sta. (Exit 5),26,7,20140319132024,25.05469,121.61669,0,19
366,五常公園,Wuchang Park,36,5,20140319132031,25.04814,121.57467,0,31
367,金山愛國路口,Jinshan & Aiguo Intersection,54,0,20140319132031,25.03164,121.52655,0,54
368,基隆長興路口,Keelung & Changxing Intersection,40,0,20140319132015,25.017054,121.544352,0,39
369,辛亥新生路口,Xinhai & Xinsheng Intersection,30,0,20140319132029,25.022413,121.53456,0,30
370,捷運六張犁站,MRT Liuzhangli Sta.,30,0,20140319132019,25.023884,121.553161,0,30
371,中崙高中,Zhonglun High School,46,34,20140319132013,25.04878,121.56087,0,12
372,捷運行天宮站(1號出口),MRT Xingtian Temple Sta. (Exit 1),32,10,20140319131925,25.058369,121.532934,0,20
373,捷運行天宮站(3號出口),MRT Xingtian Temple Sta. (Exit 3),30,5,20140319132012,25.059978,121.533302,0,25
374,臺大資訊大樓,NTU Information Bldg.,32,9,20140319132012,25.02101,121.54153,0,23
375,捷運東門站(4號出口),MRT Dongmen Sta. (Exit 4),50,1,20140319132036,25.0337,121.529166,0,45
376,臺灣師範大學(圖書館),NTNU Library,34,12,20140319132013,25.02665,121.52889,0,22
377,南港世貿公園,Nangang Park,26,19,20140319132025,25.058,121.61422,0,7
378,玉成公園,Yucheng Park,34,0,20140319132033,25.04287,121.5864,0,34
379,中研公園,Academia Park,30,10,20140319132023,25.047425,121.613706,0,20
380,捷運後山埤站(1號出口),MRT Houshanpi Sta.(Exit 1),38,0,20140319132030,25.04431,121.58174,0,35
381,凌雲市場,Linyun Market,36,4,20140319132010,25.035639,121.614154,0,32
382,捷運南港軟體園區站(2號出口),MRT Nangang Software Park Sta.(Exit 2),36,6,20140319132019,25.05973,121.616187,0,30
383,捷運公館站(2號出口),MRT Gongguan Sta.(Exit 2),30,1,20140319132032,25.01476,121.534538,0,29
384,南港國小,Nangang Elementary School,44,21,20140319132025,25.05646,121.611027,0,23
385,捷運忠孝新生(3號出口),MRT Zhongxiao Xinsheng Sta.Exit 3 (testing),40,10,20140319132018,25.041924,121.533862,0,30
386,南港車站,Nangang Rail Sta.,38,11,20140319132021,25.05247,121.608202,0,27
387,龍門廣場,Longmen Square(Testing),52,36,20140319132032,25.040901,121.548252,0,14
388,民權運動公園,MinQuan Park,52,11,20140319132030,25.062002,121.560186,0,41
389,建國農安街口,Jianguo & Nongan Intersection,44,8,20140319132033,25.065031,121.536775,0,36
390,建國長春路口,Jianguo & Changchun Intersection,30,2,20140319132030,25.054761,121.536925,0,28
391,八德市場,Bade Market,26,13,20140319132013,25.044781,121.536609,0,13
392,臺北市立圖書館(總館),Taipei Public Library,30,3,20140319132016,25.028798,121.538073,0,27
393,臺北田徑場,Taipei Stadium,46,6,20140319132042,25.049505,121.549408,0,40
394,Y-17青少年育樂中心,Y17 Youth Recreation Center,42,6,20140319132011,25.038954,121.522334,0,35
